StockTickerId,OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate
ATVI,79.10,78.65,79.72,78.90,1/27/2022 12:00:00 AM
ATVI,78.80,77.77,79.14,79.14,1/28/2022 12:00:00 AM
PFE,53.77,53.10,54.67,54.33,1/28/2022 12:00:00 AM
GOOG,130.00,128.69,133.37,133.29,1/28/2022 12:00:00 AM
F,19.32,18.92,19.55,19.54,1/28/2022 12:00:00 AM
F,19.58,19.37,20.33,20.30,1/31/2022 12:00:00 AM
GOOG,134.20,132.27,135.84,135.70,1/31/2022 12:00:00 AM
PFE,54.00,52.38,54.14,52.69,1/31/2022 12:00:00 AM
ATVI,78.87,77.91,79.44,79.01,1/31/2022 12:00:00 AM
ATVI,79.08,78.77,79.75,79.06,2/1/2022 12:00:00 AM
PFE,52.74,52.39,53.16,53.07,2/1/2022 12:00:00 AM
GOOG,137.84,134.57,138.20,137.88,2/1/2022 12:00:00 AM
F,20.61,19.92,20.85,20.66,2/1/2022 12:00:00 AM
F,20.81,20.18,21.05,20.63,2/2/2022 12:00:00 AM
GOOG,151.86,145.56,152.10,148.04,2/2/2022 12:00:00 AM
PFE,52.84,52.45,54.13,53.86,2/2/2022 12:00:00 AM
ATVI,79.08,78.93,79.70,79.25,2/2/2022 12:00:00 AM
ATVI,79.25,78.70,79.79,78.95,2/3/2022 12:00:00 AM
PFE,53.33,53.09,53.89,53.38,2/3/2022 12:00:00 AM
GOOG,145.29,142.21,149.12,142.65,2/3/2022 12:00:00 AM
F,20.17,19.87,20.62,19.89,2/3/2022 12:00:00 AM
F,18.52,17.52,18.59,17.96,2/4/2022 12:00:00 AM
GOOG,143.02,139.82,144.54,143.02,2/4/2022 12:00:00 AM
PFE,53.02,52.63,53.43,53.00,2/4/2022 12:00:00 AM
ATVI,78.45,78.40,79.83,79.25,2/4/2022 12:00:00 AM
ATVI,79.80,79.32,79.98,79.50,2/7/2022 12:00:00 AM
PFE,53.30,52.24,53.58,53.21,2/7/2022 12:00:00 AM
GOOG,143.71,138.70,143.85,138.94,2/7/2022 12:00:00 AM
F,17.73,17.70,18.12,17.89,2/7/2022 12:00:00 AM
F,17.57,17.02,17.91,17.72,2/8/2022 12:00:00 AM
GOOG,138.99,136.87,139.84,139.21,2/8/2022 12:00:00 AM
PFE,50.64,49.69,51.80,51.70,2/8/2022 12:00:00 AM
ATVI,79.68,79.55,80.79,80.23,2/8/2022 12:00:00 AM
ATVI,80.55,80.15,81.86,81.50,2/9/2022 12:00:00 AM
PFE,51.64,50.90,51.72,51.47,2/9/2022 12:00:00 AM
GOOG,140.85,140.38,142.18,141.45,2/9/2022 12:00:00 AM
F,18.27,18.03,18.43,18.35,2/9/2022 12:00:00 AM
F,17.96,17.92,18.63,18.08,2/10/2022 12:00:00 AM
GOOG,139.50,138.05,141.43,138.60,2/10/2022 12:00:00 AM
PFE,51.04,50.39,51.37,50.60,2/10/2022 12:00:00 AM
ATVI,81.12,81.08,81.94,81.45,2/10/2022 12:00:00 AM
ATVI,81.50,81.08,81.83,81.50,2/11/2022 12:00:00 AM
PFE,50.33,50.08,51.24,50.78,2/11/2022 12:00:00 AM
GOOG,138.75,133.29,139.28,134.13,2/11/2022 12:00:00 AM
F,18.10,17.42,18.36,17.55,2/11/2022 12:00:00 AM
F,17.51,17.29,17.73,17.46,2/14/2022 12:00:00 AM
GOOG,133.37,133.30,136.17,135.30,2/14/2022 12:00:00 AM
PFE,49.82,48.48,50.50,49.80,2/14/2022 12:00:00 AM
ATVI,81.49,81.11,81.63,81.50,2/14/2022 12:00:00 AM
ATVI,81.60,81.35,82.00,81.52,2/15/2022 12:00:00 AM
PFE,49.80,49.21,50.04,49.79,2/15/2022 12:00:00 AM
GOOG,137.47,135.54,137.90,136.43,2/15/2022 12:00:00 AM
F,17.80,17.72,18.13,18.08,2/15/2022 12:00:00 AM
F,17.89,17.74,18.21,18.01,2/16/2022 12:00:00 AM
GOOG,136.43,134.82,137.95,137.49,2/16/2022 12:00:00 AM
PFE,49.59,49.43,50.77,49.68,2/16/2022 12:00:00 AM
ATVI,81.45,81.09,81.78,81.46,2/16/2022 12:00:00 AM
ATVI,81.46,80.89,81.50,80.97,2/17/2022 12:00:00 AM
PFE,49.81,48.75,49.96,48.90,2/17/2022 12:00:00 AM
GOOG,136.15,132.20,136.84,132.31,2/17/2022 12:00:00 AM
F,17.86,17.50,17.94,17.54,2/17/2022 12:00:00 AM
F,17.60,17.57,18.48,18.04,2/18/2022 12:00:00 AM
GOOG,133.04,130.31,133.82,130.47,2/18/2022 12:00:00 AM
PFE,48.78,48.20,49.52,48.53,2/18/2022 12:00:00 AM
ATVI,81.04,80.93,81.53,81.05,2/18/2022 12:00:00 AM
ATVI,81.15,81.11,81.87,81.23,2/22/2022 12:00:00 AM
PFE,47.54,47.34,48.31,47.53,2/22/2022 12:00:00 AM
GOOG,129.99,127.74,131.90,129.40,2/22/2022 12:00:00 AM
F,17.67,17.07,17.76,17.29,2/22/2022 12:00:00 AM
F,17.50,16.88,17.73,16.95,2/23/2022 12:00:00 AM
GOOG,131.08,127.50,131.75,127.58,2/23/2022 12:00:00 AM
PFE,47.59,46.78,48.16,46.87,2/23/2022 12:00:00 AM
